Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
Paradeep Pari.,544383,,Miscellaneous,108.07,11.45,172.03,29.44,13.25,33.62,,,,7.24,1.94,,0.77,4.55,8.00,7.12,,13.25,24.35,1.87,77.07,1.59,,205.00,0.00,65.96,13.33,10.57,3.00,11.79
Parmeshwar Metal,544330,,Mining / Minerals / Metals,70.00,9.76,107.14,23.92,7.17,20.34,46.24,1.51,86.39,6.71,4.47,0.27,0.16,20.15,6.00,0.79,15.29,7.17,17.64,4.24,8.64,1.53,213.95,110.25,0.00,70.82,15.30,-9.37,7.00,13.81
Party Cruisers,,PARTYCRUS,Miscellaneous,94.00,14.23,112.11,30.07,5.53,22.66,29.43,3.19,68.14,21.84,2.45,0.55,0.19,7.64,5.00,10.23,89.88,7.01,26.75,2.20,40.05,1.19,195.70,117.87,0.00,68.28,9.03,-0.18,7.00,17.91
Pearl Global Ind,532808,PGIL,Textiles - Products,1167.85,25.03,5364.54,21.39,40.11,21.90,231.51,5.04,519.31,14.78,1.65,0.93,0.62,7.08,7.00,4.86,32.09,51.77,41.13,1.15,28.19,4.59,516.80,5629.11,0.00,62.81,6.00,411.85,6.00,8.86
Pecos Hotels,539273,,Hotels,257.40,25.55,33.72,32.33,8.86,22.46,45.81,5.62,101.91,16.28,4.95,1.29,0.00,12.10,6.00,11.93,52.70,10.08,40.37,4.89,0.38,0.13,100.27,29.92,0.00,69.62,6.15,2.87,6.00,19.59
Pelatro,,PELATRO,Computers - Software - Medium / Small,363.00,31.77,377.76,22.19,11.43,25.99,76.35,4.75,140.09,742.34,4.39,,0.53,6.71,6.00,13.86,,11.43,30.87,4.39,65.03,1.04,450.71,383.61,0.00,53.59,4.40,,4.00,12.20
Pentagon Rubber,,PENTAGON,Miscellaneous,72.05,19.02,55.55,17.62,5.76,23.44,39.16,1.84,57.76,19.45,2.68,,0.99,4.03,4.00,7.70,35.93,3.79,26.75,1.81,131.65,0.77,107.81,78.85,0.00,70.04,6.14,-10.97,3.00,10.00
Persistent Sys,533179,PERSISTENT,Computers - Software - Large,5699.00,63.43,88818.92,31.39,90.54,24.83,408.60,13.95,912.34,37.88,2.36,1.89,0.05,19.77,7.00,11.73,27.87,90.54,29.96,2.36,56.49,15.46,2037.88,88104.35,0.00,30.66,2.14,2429.76,5.00,17.38
Phantom Digital,,PHANTOMFX,Entertainment / Electronic Media Software,254.70,15.65,345.86,31.88,17.76,25.52,112.77,2.26,203.21,19.34,3.74,0.07,0.29,5.45,4.00,26.99,136.42,16.27,35.34,2.71,208.10,1.36,992.71,352.59,33.63,54.74,9.50,-60.85,3.00,20.33
Piccadily Agro,530305,,Breweries & Distilleries,622.10,55.46,5868.85,29.59,11.63,30.61,63.91,9.73,127.00,14.12,2.09,0.50,0.35,12.24,8.00,11.78,14.98,11.22,29.88,1.66,67.16,9.43,194.67,5843.69,0.00,70.97,2.92,42.58,3.00,13.13
Pidilite Inds.,500331,PIDILITIND,Chemicals,3091.20,75.07,157233.50,29.86,40.82,23.07,191.77,16.12,419.68,85.97,2.27,5.94,0.05,20.93,8.00,16.09,9.82,40.82,29.91,1.76,50.31,50.86,495.92,157351.43,0.00,69.50,1.84,5069.49,4.00,16.21
