Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
Fluidomat,522017,,Engineering,865.30,21.35,426.59,31.99,26.49,23.69,141.69,6.11,359.55,16.38,3.38,0.53,0.00,11.36,8.00,23.91,25.19,40.55,35.65,3.07,90.10,0.49,636.69,423.17,0.65,53.46,6.27,17.55,6.00,19.91
Foce India,,FOCE,Trading,1780.00,49.54,870.94,26.21,32.48,28.16,145.66,12.22,343.15,37.42,1.18,,0.33,14.70,8.00,19.80,1.43,35.93,47.36,1.13,205.26,0.49,1071.10,893.26,0.00,73.63,2.41,34.69,3.00,16.13
Force Motors,500033,FORCEMOT,Automobiles - LCVs / HCVs,10954.50,26.39,14433.94,29.80,607.71,20.68,2302.19,4.76,5610.62,18.40,1.50,0.57,0.01,7.66,9.00,6.78,35.56,607.71,24.98,0.81,7.88,1.32,10089.46,13943.96,0.00,61.63,6.24,1690.23,7.00,11.46
Frontier Springs,522195,,Auto Ancillaries,2292.40,32.20,903.21,20.51,32.98,15.50,266.83,8.59,653.89,14.53,2.18,3.77,0.03,14.02,8.00,9.39,20.72,71.22,26.61,1.07,59.76,0.39,1212.81,894.89,0.00,51.76,4.20,9.09,4.00,10.90
G M Polyplast,543239,,Plastics Products,95.90,22.97,129.08,33.86,5.27,24.76,26.29,3.65,49.69,32.79,3.81,0.58,0.12,8.87,8.00,7.68,20.85,4.18,26.80,2.27,75.17,1.35,86.83,133.05,0.00,73.54,6.47,2.96,4.00,18.06
Gabriel India,505714,GABRIEL,Auto Ancillaries,612.70,41.80,8801.06,26.72,12.89,19.58,74.89,8.18,157.15,21.92,1.90,2.96,0.01,12.09,9.00,5.50,25.41,14.66,26.61,1.50,49.46,14.36,220.73,8765.92,0.00,55.00,3.24,165.20,6.00,12.10
Garden Reach Sh.,542011,GRSE,Miscellaneous,2481.70,53.90,28428.37,37.28,46.04,28.11,181.51,13.67,433.62,15.72,1.17,2.08,0.00,5.55,8.00,10.39,42.49,46.04,53.90,0.73,18.66,11.46,1276.20,24706.19,0.00,74.50,2.89,601.54,6.00,5.12
Garware Hi Tech,500655,GRWRHITECH,Packaging,4006.50,28.10,9308.06,20.50,142.57,15.00,1020.90,3.92,1809.65,13.50,4.28,0.90,0.01,8.50,8.00,15.70,17.43,142.57,22.86,3.03,7.27,2.32,2557.41,9202.78,0.00,60.72,4.94,583.27,5.00,13.23
Garware Tech.,509557,GARFIBRES,Textiles - Products,886.30,38.00,8797.93,24.67,23.33,18.71,125.08,7.09,256.21,35.67,1.88,3.55,0.05,10.81,8.00,15.03,9.00,23.33,23.77,1.28,75.09,9.93,351.90,8812.18,0.00,53.00,3.73,489.44,3.00,13.13
GE Vernova T&D,522275,GVT&D,Electric Equipment,1861.40,97.64,47661.15,23.14,7.07,15.66,53.76,34.63,151.85,79.23,1.17,-26.97,0.03,21.05,9.00,5.72,-2.83,19.06,44.87,0.93,165.63,25.60,90.54,47612.27,0.00,51.00,1.42,418.78,3.00,4.99
